"","nom_comarca","nivell","nom_naturalesa","nom_ensenyament","edat","places ofertades","assignacions","% ocupades","dem","Curs"
"343","Bergueda","3","Public","Educacio secundaria obligatoria",14,37,5,13.5,"Catalunya","3-Educacio secundaria obligatoria"
"344","Bergueda","4","Privat","Educacio primaria",9,12,3,25,"Catalunya","4-Educacio primaria"
"345","Bergueda","4","Privat","Educacio secundaria obligatoria",15,16,2,12.5,"Catalunya","4-Educacio secundaria obligatoria"
"346","Bergueda","4","Public","Educacio primaria",9,48,3,6.2,"Catalunya","4-Educacio primaria"
"347","Bergueda","4","Public","Educacio secundaria obligatoria",15,44,4,9.1,"Catalunya","4-Educacio secundaria obligatoria"
"348","Bergueda","5","Privat","Educacio primaria",10,28,2,7.1,"Catalunya","5-Educacio primaria"
"349","Bergueda","5","Public","Educacio primaria",10,54,1,1.9,"Catalunya","5-Educacio primaria"
"350","Bergueda","6","Privat","Educacio primaria",11,8,0,0,"Catalunya","6-Educacio primaria"
"351","Bergueda","6","Public","Educacio primaria",11,51,1,2,"Catalunya","6-Educacio primaria"
"352","Cerdanya","1","Privat","Educacio infantil 2n cicle",3,25,20,80,"Catalunya","1-Educacio infantil 2n cicle"
"353","Cerdanya","1","Privat","Educacio primaria",6,0,0,NA,"Catalunya","1-Educacio primaria"
"354","Cerdanya","1","Privat","Educacio secundaria obligatoria",12,2,2,100,"Catalunya","1-Educacio secundaria obligatoria"
"355","Cerdanya","1","Public","Educacio infantil 2n cicle",3,126,98,77.8,"Catalunya","1-Educacio infantil 2n cicle"
"356","Cerdanya","1","Public","Educacio primaria",6,28,5,17.9,"Catalunya","1-Educacio primaria"
"357","Cerdanya","1","Public","Educacio secundaria obligatoria",12,112,112,100,"Catalunya","1-Educacio secundaria obligatoria"
"358","Cerdanya","2","Privat","Educacio infantil 2n cicle",4,0,0,NA,"Catalunya","2-Educacio infantil 2n cicle"
"359","Cerdanya","2","Privat","Educacio primaria",7,7,0,0,"Catalunya","2-Educacio primaria"
"360","Cerdanya","2","Privat","Educacio secundaria obligatoria",13,0,0,NA,"Catalunya","2-Educacio secundaria obligatoria"
"361","Cerdanya","2","Public","Educacio infantil 2n cicle",4,36,2,5.6,"Catalunya","2-Educacio infantil 2n cicle"
